p,Connected,No AP/B & connected,Degree <= 3 & connected,All Conditions
0.000000,0.000000e+00,-nan,-nan,-nan
0.010000,1.506228e-08,2.545176e-04,8.286440e-01,2.527472e-04
0.020000,8.635105e-07,5.976294e-04,8.197431e-01,5.829857e-04
0.030000,8.806670e-06,1.042063e-03,8.104384e-01,9.909809e-04
0.040000,4.428368e-05,1.601659e-03,8.007200e-01,1.476550e-03
0.050000,1.511159e-04,2.291423e-03,7.905788e-01,2.039032e-03
0.060000,4.034738e-04,3.127575e-03,7.800063e-01,2.677262e-03
0.070000,9.093460e-04,4.127603e-03,7.689948e-01,3.389543e-03
0.080000,1.810233e-03,5.310300e-03,7.575377e-01,4.173622e-03
0.090000,3.277397e-03,6.695804e-03,7.456294e-01,5.026672e-03
0.100000,5.505348e-03,8.305626e-03,7.332654e-01,5.945266e-03
0.110000,8.703408e-03,1.016267e-02,7.204426e-01,6.925369e-03
0.120000,1.308619e-02,1.229124e-02,7.071596e-01,7.962323e-03
0.130000,1.886382e-02,1.471705e-02,6.934163e-01,9.050845e-03
0.140000,2.623253e-02,1.746717e-02,6.792148e-01,1.018502e-02
0.150000,3.536620e-02,2.057003e-02,6.645588e-01,1.135833e-02
0.160000,4.640929e-02,2.405532e-02,6.494546e-01,1.256362e-02
0.170000,5.947120e-02,2.795397e-02,6.339103e-01,1.379319e-02
0.180000,7.462254e-02,3.229797e-02,6.179367e-01,1.503876e-02
0.190000,9.189292e-02,3.712030e-02,6.015474e-01,1.629154e-02
0.200000,1.112705e-01,4.245473e-02,5.847583e-01,1.754230e-02
0.210000,1.327031e-01,4.833564e-02,5.675886e-01,1.878139e-02
0.220000,1.561003e-01,5.479778e-02,5.500603e-01,1.999885e-02
0.230000,1.813369e-01,6.187601e-02,5.321983e-01,2.118446e-02
0.240000,2.082574e-01,6.960500e-02,5.140310e-01,2.232785e-02
0.250000,2.366805e-01,7.801887e-02,4.955897e-01,2.341863e-02
0.260000,2.664044e-01,8.715081e-02,4.769090e-01,2.444646e-02
0.270000,2.972122e-01,9.703267e-02,4.580266e-01,2.540119e-02
0.280000,3.288772e-01,1.076945e-01,4.389834e-01,2.627302e-02
0.290000,3.611681e-01,1.191640e-01,4.198230e-01,2.705261e-02
0.300000,3.938537e-01,1.314660e-01,4.005919e-01,2.773121e-02
0.310000,4.267073e-01,1.446222e-01,3.813393e-01,2.830087e-02
0.320000,4.595107e-01,1.586501e-01,3.621164e-01,2.875449e-02
0.330000,4.920571e-01,1.735628e-01,3.429764e-01,2.908605e-02
0.340000,5.241543e-01,1.893683e-01,3.239740e-01,2.929069e-02
0.350000,5.556268e-01,2.060689e-01,3.051652e-01,2.936485e-02
0.360000,5.863169e-01,2.236607e-01,2.866062e-01,2.930637e-02
0.370000,6.160863e-01,2.421332e-01,2.683536e-01,2.911460e-02
0.380000,6.448163e-01,2.614687e-01,2.504631e-01,2.879043e-02
0.390000,6.724078e-01,2.816420e-01,2.329895e-01,2.833636e-02
0.400000,6.987813e-01,3.026200e-01,2.159857e-01,2.775651e-02
0.410000,7.238759e-01,3.243619e-01,1.995020e-01,2.705658e-02
0.420000,7.476485e-01,3.468185e-01,1.835856e-01,2.624382e-02
0.430000,7.700728e-01,3.699326e-01,1.682803e-01,2.532693e-02
0.440000,7.911376e-01,3.936393e-01,1.536250e-01,2.431594e-02
0.450000,8.108455e-01,4.178661e-01,1.396542e-01,2.322207e-02
0.460000,8.292116e-01,4.425335e-01,1.263969e-01,2.205751e-02
0.470000,8.462614e-01,4.675554e-01,1.138761e-01,2.083527e-02
0.480000,8.620300e-01,4.928403e-01,1.021091e-01,1.956888e-02
0.490000,8.765600e-01,5.182918e-01,9.110659e-02,1.827219e-02
0.500000,8.899002e-01,5.438096e-01,8.087315e-02,1.695909e-02
0.510000,9.021045e-01,5.692913e-01,7.140682e-02,1.564326e-02
0.520000,9.132302e-01,5.946326e-01,6.269947e-02,1.433791e-02
0.530000,9.233375e-01,6.197295e-01,5.473697e-02,1.305552e-02
0.540000,9.324877e-01,6.444792e-01,4.749959e-02,1.180766e-02
0.550000,9.407431e-01,6.687812e-01,4.096243e-02,1.060475e-02
0.560000,9.481655e-01,6.925392e-01,3.509596e-02,9.455914e-03
0.570000,9.548159e-01,7.156618e-01,2.986671e-02,8.368864e-03
0.580000,9.607540e-01,7.380642e-01,2.523786e-02,7.349798e-03
0.590000,9.660375e-01,7.596687e-01,2.117003e-02,6.403368e-03
0.600000,9.707218e-01,7.804058e-01,1.762198e-02,5.532676e-03
0.610000,9.748599e-01,8.002154e-01,1.455136e-02,4.739315e-03
0.620000,9.785020e-01,8.190469e-01,1.191541e-02,4.023451e-03
0.630000,9.816954e-01,8.368595e-01,9.671634e-03,3.383936e-03
0.640000,9.844843e-01,8.536232e-01,7.778447e-03,2.818447e-03
0.650000,9.869102e-01,8.693180e-01,6.195690e-03,2.323653e-03
0.660000,9.890115e-01,8.839342e-01,4.885124e-03,1.895390e-03
0.670000,9.908236e-01,8.974721e-01,3.810811e-03,1.528854e-03
0.680000,9.923791e-01,9.099415e-01,2.939416e-03,1.218782e-03
0.690000,9.937080e-01,9.213607e-01,2.240416e-03,9.596389e-04
0.700000,9.948374e-01,9.317566e-01,1.686225e-03,7.457834e-04
0.710000,9.957922e-01,9.411630e-01,1.252236e-03,5.716256e-04
0.720000,9.965946e-01,9.496203e-01,9.167906e-04,4.317579e-04
0.730000,9.972649e-01,9.571741e-01,6.610835e-04,3.210654e-04
0.740000,9.978212e-01,9.638748e-01,4.690156e-04,2.348118e-04
0.750000,9.982796e-01,9.697760e-01,3.270029e-04,1.686994e-04
0.760000,9.986545e-01,9.749337e-01,2.237562e-04,1.189066e-04
0.770000,9.989585e-01,9.794058e-01,1.500409e-04,8.210212e-05
0.780000,9.992029e-01,9.832504e-01,9.842845e-05,5.544087e-05
0.790000,9.993974e-01,9.865257e-01,6.304786e-05,3.654267e-05
0.800000,9.995506e-01,9.892890e-01,3.934575e-05,2.345900e-05
0.810000,9.996698e-01,9.915959e-01,2.386127e-05,1.463031e-05
0.820000,9.997614e-01,9.934999e-01,1.402063e-05,8.837867e-06
0.830000,9.998307e-01,9.950518e-01,7.954396e-06,5.153283e-06
0.840000,9.998824e-01,9.962993e-01,4.339347e-06,2.888551e-06
0.850000,9.999202e-01,9.972869e-01,2.265079e-06,1.548835e-06
0.860000,9.999472e-01,9.980554e-01,1.124618e-06,7.897422e-07
0.870000,9.999662e-01,9.986417e-01,5.272733e-07,3.801647e-07
0.880000,9.999791e-01,9.990792e-01,2.313460e-07,1.712208e-07
0.890000,9.999876e-01,9.993973e-01,9.391744e-08,7.133576e-08
0.900000,9.999930e-01,9.996216e-01,3.476450e-08,2.709423e-08
0.910000,9.999963e-01,9.997741e-01,1.150973e-08,9.202462e-09
0.920000,9.999982e-01,9.998733e-01,3.320488e-09,2.723096e-09
0.930000,9.999992e-01,9.999343e-01,8.047453e-10,6.768171e-10
0.940000,9.999997e-01,9.999693e-01,1.552978e-10,1.339260e-10
0.950000,9.999999e-01,9.999875e-01,2.196068e-11,1.941662e-11
0.960000,1.000000e+00,9.999959e-01,1.979985e-12,1.794588e-12
0.970000,1.000000e+00,9.999990e-01,8.768235e-14,8.145978e-14
0.980000,1.000000e+00,9.999999e-01,1.061775e-15,1.011001e-15
0.990000,1.000000e+00,1.000000e+00,5.424655e-19,5.293526e-19
1.000000,1.000000e+00,1.000000e+00,-6.497695e-164,-6.497695e-164
