p,Connected,No AP/B & connected,Degree <= 3 & connected,All Conditions
0.410000,8.081370e-01,4.111511e-01,6.702689e-02,8.600232e-03
0.420000,8.283243e-01,4.389001e-01,5.817246e-02,7.888448e-03
0.430000,8.468801e-01,4.670087e-01,5.016716e-02,7.180344e-03
0.440000,8.638646e-01,4.953398e-01,4.297948e-02,6.484859e-03
0.450000,8.793480e-01,5.237519e-01,3.657176e-02,5.810089e-03
0.460000,8.934076e-01,5.521013e-01,3.090115e-02,5.163136e-03
0.470000,9.061258e-01,5.802445e-01,2.592061e-02,4.549987e-03
0.480000,9.175881e-01,6.080403e-01,2.158005e-02,3.975443e-03
0.490000,9.278811e-01,6.353519e-01,1.782736e-02,3.443087e-03
0.500000,9.370915e-01,6.620495e-01,1.460950e-02,2.955294e-03
0.510000,9.453044e-01,6.880117e-01,1.187353e-02,2.513281e-03
0.520000,9.526026e-01,7.131277e-01,9.567469e-03,2.117194e-03
0.530000,9.590658e-01,7.372981e-01,7.641130e-03,1.766218e-03
0.540000,9.647698e-01,7.604368e-01,6.046799e-03,1.458712e-03
0.550000,9.697867e-01,7.824714e-01,4.739774e-03,1.192356e-03
0.560000,9.741840e-01,8.033439e-01,3.678766e-03,9.643031e-04
0.570000,9.780246e-01,8.230106e-01,2.826169e-03,7.713357e-04
0.580000,9.813671e-01,8.414425e-01,2.148198e-03,6.100077e-04
0.590000,9.842655e-01,8.586243e-01,1.614907e-03,4.767787e-04
0.600000,9.867693e-01,8.745545e-01,1.200113e-03,3.681310e-04
0.610000,9.889240e-01,8.892436e-01,8.812269e-04,2.806672e-04
0.620000,9.907707e-01,9.027138e-01,6.390256e-04,2.111872e-04
0.630000,9.923469e-01,9.149976e-01,4.573718e-04,1.567455e-04
0.640000,9.936864e-01,9.261360e-01,3.229065e-04,1.146882e-04
0.650000,9.948194e-01,9.361781e-01,2.247263e-04,8.267231e-05
0.660000,9.957734e-01,9.451788e-01,1.540597e-04,5.866992e-05
0.670000,9.965724e-01,9.531978e-01,1.039541e-04,4.095932e-05
0.680000,9.972381e-01,9.602987e-01,6.898270e-05,2.810654e-05
0.690000,9.977897e-01,9.665468e-01,4.497558e-05,1.893997e-05
0.700000,9.982439e-01,9.720090e-01,2.878079e-05,1.252064e-05
0.710000,9.986155e-01,9.767519e-01,1.805607e-05,8.110759e-06
0.720000,9.989175e-01,9.808414e-01,1.109151e-05,5.142132e-06
0.730000,9.991611e-01,9.843419e-01,6.661882e-06,3.186180e-06
0.740000,9.993561e-01,9.873151e-01,3.906285e-06,1.926510e-06
0.750000,9.995108e-01,9.898200e-01,2.232201e-06,1.134734e-06
0.760000,9.996325e-01,9.919124e-01,1.240661e-06,6.498195e-07
0.770000,9.997273e-01,9.936442e-01,6.692088e-07,3.610042e-07
0.780000,9.998002e-01,9.950636e-01,3.494364e-07,1.940743e-07
0.790000,9.998558e-01,9.962147e-01,1.761283e-07,1.006752e-07
0.800000,9.998975e-01,9.971376e-01,8.541199e-08,5.022922e-08
0.810000,9.999285e-01,9.978685e-01,3.970005e-08,2.401208e-08
0.820000,9.999510e-01,9.984393e-01,1.760893e-08,1.095056e-08
0.830000,9.999672e-01,9.988786e-01,7.414869e-09,4.739598e-09
0.840000,9.999785e-01,9.992110e-01,2.946149e-09,1.935104e-09
0.850000,9.999863e-01,9.994579e-01,1.096545e-09,7.398983e-10
0.860000,9.999916e-01,9.996374e-01,3.789718e-10,2.626274e-10
0.870000,9.999950e-01,9.997648e-01,1.203200e-10,8.561678e-11
0.880000,9.999971e-01,9.998528e-01,3.462954e-11,2.529675e-11
0.890000,9.999984e-01,9.999117e-01,8.885009e-12,6.661813e-12
0.900000,9.999992e-01,9.999496e-01,1.988940e-12,1.530394e-12
0.910000,9.999996e-01,9.999729e-01,3.776070e-13,2.981349e-13
0.920000,9.999998e-01,9.999865e-01,5.851646e-14,4.740248e-14
0.930000,9.999999e-01,9.999939e-01,7.015246e-15,5.830343e-15
0.940000,1.000000e+00,9.999975e-01,6.015429e-16,5.129162e-16
0.950000,1.000000e+00,9.999992e-01,3.267407e-17,2.858515e-17
0.960000,1.000000e+00,9.999998e-01,9.174979e-19,8.236930e-19
0.970000,1.000000e+00,1.000000e+00,9.104267e-21,8.389618e-21
0.980000,1.000000e+00,1.000000e+00,1.360163e-23,1.287078e-23
0.990000,1.000000e+00,1.000000e+00,2.015295e-28,1.959483e-28
1.000000,1.000000e+00,1.000000e+00,2.903961e-239,2.903961e-239
