p,Connected,No AP/B & connected,Degree <= 3 & connected,All Conditions
0.000000,0.000000e+00,-nan,-nan,-nan
0.010000,2.243942e-09,1.260403e-04,7.565262e-01,1.241489e-04
0.020000,2.457232e-07,3.211849e-04,7.434669e-01,3.052530e-04
0.030000,3.589806e-06,6.007565e-04,7.298599e-01,5.442011e-04
0.040000,2.298255e-05,9.820575e-04,7.157024e-01,8.412022e-04
0.050000,9.360616e-05,1.484516e-03,7.009937e-01,1.195752e-03
0.060000,2.863516e-04,2.129829e-03,6.857355e-01,1.606607e-03
0.070000,7.188782e-04,2.942098e-03,6.699326e-01,2.071760e-03
0.080000,1.561496e-03,3.947959e-03,6.535923e-01,2.588430e-03
0.090000,3.036525e-03,5.176690e-03,6.367256e-01,3.153053e-03
0.100000,5.411129e-03,6.660308e-03,6.193466e-01,3.761287e-03
0.110000,8.984631e-03,8.433635e-03,6.014734e-01,4.408030e-03
0.120000,1.407195e-02,1.053433e-02,5.831276e-01,5.087444e-03
0.130000,2.098505e-02,1.300291e-02,5.643352e-01,5.792993e-03
0.140000,3.001430e-02,1.588266e-02,5.451262e-01,6.517503e-03
0.150000,4.141131e-02,1.921958e-02,5.255352e-01,7.253225e-03
0.160000,5.537456e-02,2.306219e-02,5.056009e-01,7.991919e-03
0.170000,7.203867e-02,2.746133e-02,4.853665e-01,8.724953e-03
0.180000,9.146762e-02,3.246983e-02,4.648798e-01,9.443419e-03
0.190000,1.136522e-01,3.814212e-02,4.441927e-01,1.013825e-02
0.200000,1.385110e-01,4.453378e-02,4.233612e-01,1.080038e-02
0.210000,1.658954e-01,5.170093e-02,4.024452e-01,1.142086e-02
0.220000,1.955967e-01,5.969957e-02,3.815079e-01,1.199105e-02
0.230000,2.273552e-01,6.858483e-02,3.606159e-01,1.250278e-02
0.240000,2.608715e-01,7.841007e-02,3.398380e-01,1.294850e-02
0.250000,2.958172e-01,8.922594e-02,3.192451e-01,1.332146e-02
0.260000,3.318469e-01,1.010794e-01,2.989090e-01,1.361584e-02
0.270000,3.686086e-01,1.140124e-01,2.789022e-01,1.382694e-02
0.280000,4.057538e-01,1.280611e-01,2.592966e-01,1.395129e-02
0.290000,4.429462e-01,1.432543e-01,2.401626e-01,1.398675e-02
0.300000,4.798694e-01,1.596126e-01,2.215684e-01,1.393259e-02
0.310000,5.162323e-01,1.771471e-01,2.035788e-01,1.378956e-02
0.320000,5.517738e-01,1.958582e-01,1.862541e-01,1.355988e-02
0.330000,5.862657e-01,2.157350e-01,1.696496e-01,1.324725e-02
0.340000,6.195140e-01,2.367541e-01,1.538144e-01,1.285675e-02
0.350000,6.513596e-01,2.588793e-01,1.387906e-01,1.239475e-02
0.360000,6.816776e-01,2.820610e-01,1.246126e-01,1.186880e-02
0.370000,7.103758e-01,3.062360e-01,1.113067e-01,1.128741e-02
0.380000,7.373923e-01,3.313280e-01,9.889067e-02,1.065988e-02
0.390000,7.626936e-01,3.572474e-01,8.737336e-02,9.996063e-03
0.400000,7.862707e-01,3.838927e-01,7.675494e-02,9.306109e-03
