p	Connected	No AP/B	Degree <= 4	All Conditions
0.900000	9.999992e-01	9.999488e-01	2.285831e-08	2.191009e-08
0.910000	9.999996e-01	9.999725e-01	6.634081e-09	6.402069e-09
0.920000	9.999998e-01	9.999863e-01	1.648865e-09	1.601238e-09
0.930000	9.999999e-01	9.999938e-01	3.369640e-10	3.291354e-10
0.940000	1.000000e+00	9.999975e-01	5.335334e-11	5.239085e-11
0.950000	1.000000e+00	9.999992e-01	5.970506e-12	5.890882e-12
0.960000	1.000000e+00	9.999998e-01	4.050177e-13	4.013050e-13
0.970000	1.000000e+00	1.000000e+00	1.250171e-14	1.243171e-14
0.980000	1.000000e+00	1.000000e+00	9.239367e-17	9.214041e-17
0.990000	1.000000e+00	1.000000e+00	2.118671e-20	2.117042e-20
1.000000	1.000000e+00	1.000000e+00	1.477512e-178	1.477512e-178
