p,Connected,No AP/B & connected,Degree <= 4 & connected,All Conditions
0.850000,9.973945e-01,9.446220e-01,1.000000e+00,9.446220e-01
0.860000,9.980282e-01,9.540055e-01,1.000000e+00,9.540055e-01
0.870000,9.985381e-01,9.624171e-01,1.000000e+00,9.624171e-01
0.880000,9.989415e-01,9.698624e-01,1.000000e+00,9.698624e-01
0.890000,9.992546e-01,9.763575e-01,1.000000e+00,9.763575e-01
0.900000,9.994922e-01,9.819284e-01,1.000000e+00,9.819284e-01
0.910000,9.996677e-01,9.866120e-01,1.000000e+00,9.866120e-01
0.920000,9.997930e-01,9.904558e-01,1.000000e+00,9.904558e-01
0.930000,9.998790e-01,9.935179e-01,1.000000e+00,9.935179e-01
0.940000,9.999348e-01,9.958669e-01,1.000000e+00,9.958669e-01
0.950000,9.999686e-01,9.975815e-01,1.000000e+00,9.975815e-01
0.960000,9.999872e-01,9.987496e-01,1.000000e+00,9.987496e-01
0.970000,9.999959e-01,9.994681e-01,1.000000e+00,9.994681e-01
0.980000,9.999992e-01,9.998414e-01,1.000000e+00,9.998414e-01
0.990000,9.999999e-01,9.999801e-01,1.000000e+00,9.999801e-01
1.000000,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
